"","ID","INSEE_COM","CODE_EPCI","INSEE_DEP","INSEE_REG","NOM_COM_M","POPULATION","Nb_Transac","Prixm2_Moy"
"177","COMMUNE_0000002200276473","07262",200072007,"07",84,"SAINT LAURENT LES BAINS LAVAL D AURELLE",178,1,1344
"178","COMMUNE_0000002200276469","05001",200067452,"05",93,"ABRIES RISTOLAS",382,9,2207
"179","COMMUNE_0000002200276468","02360",240200576,"02",32,"VILLENEUVE SUR AISNE",2673,22,1856
"180","COMMUNE_0000002200276466","02018",200071769,"02",32,"ANIZY LE GRAND",2527,23,1317
"181","COMMUNE_0000002200276470","07011",200073245,"07",84,"VALLEES DANTRAIGUES ASPERJOC",952,3,881
"182","COMMUNE_0000002200276476","09334",200066363,"09",76,"VAL DE SOS",656,17,915
"183","COMMUNE_0000002200276475","09296",200066363,"09",76,"AULOS SINSAT",173,3,977
"184","COMMUNE_0000002200276477","11131",200043776,"11",76,"VAL DU FABY",572,4,1230
"185","COMMUNE_0000002200276481","14150",200066710,"14",28,"CESNY LES SOURCES",1328,9,1478
"186","COMMUNE_0000002200276479","11323",200071926,"11",76,"ROQUETAILLADE ET CONILHAC",276,6,1772
"187","COMMUNE_0000002200276484","14554",200065597,"14",28,"CASTELET",1455,1,3413
"188","COMMUNE_0000002200276483","14538",200065597,"14",28,"CASTINE EN PLAINE",1442,7,1906
"189","COMMUNE_0000000009734082","27290",200066413,"27",28,"GOUPIL OTHON",1257,13,1415
"190","COMMUNE_0000000009734080","27630",200066413,"27",28,"THIBOUVILLE",307,2,1159
"191","COMMUNE_0000000009740952","28406",200070159,"28",24,"EOLE EN BEAUCE",1244,18,1154
"192","COMMUNE_0000000009759463","34106",200017341,"34",76,"FOZIERES",167,NA,NA
"193","COMMUNE_0000000009759686","34306",200017341,"34",76,"SOUMONT",188,3,1431
"194","COMMUNE_0000002200276503","22206",200069086,"22",53,"CHATELAUDREN PLOUAGAT",3844,40,1374
"195","COMMUNE_0000002200276500","21178",200070894,"21",27,"VALFORET",326,2,2665
"196","COMMUNE_0000002200276498","19098",241927201,"19",75,"LAGARDE MARC LA TOUR",979,9,1182
"197","COMMUNE_0000002200276492","16339",241600303,"16",75,"VAL D AUGE",821,4,764
"198","COMMUNE_0000002200276507","23189",200067189,"23",75,"SAINT DIZIER MASBARAUD",1122,7,682
"199","COMMUNE_0000002200276489","16153",200070514,"16",75,"MAINXE GONDEVILLE",1178,17,1279
"200","COMMUNE_0000002200276502","21352",200000925,"21",27,"LONGEAULT PLUVAULT",1124,7,1367
"201","COMMUNE_0000002200276506","23109",200041556,"23",75,"LINARD MALVAL",208,1,952
"202","COMMUNE_0000002200276493","17219",241700699,"17",75,"MARENNES HIERS BROUAGE",6273,115,1923
"203","COMMUNE_0000002200276499","19101",241927201,"19",75,"LAGUENNE SUR AVALOUZE",1550,17,1111
"204","COMMUNE_0000002200276504","22219",200067460,"22",53,"PLOUGUENAST LANGAST",2492,14,932
"205","COMMUNE_0000002200276491","16281",200068914,"16",75,"ROCHEFOUCAULD EN ANGOUMOIS",4003,66,1413
"206","COMMUNE_0000002200276501","21272",200071017,"21",27,"VAL LARREY",265,3,1118
"207","COMMUNE_0000002200379841","21623",200000925,"21",27,"TART",1584,17,1931
"208","COMMUNE_0000000009738541","22093",200069391,"22",53,"LAMBALLE ARMOR",16553,162,1734
"209","COMMUNE_0000002200276456","16406",200068914,"16",75,"MOULINS SUR TARDOIRE",776,4,1442
"210","COMMUNE_0000000009736253","22101",200065928,"22",53,"LANGOAT",1165,12,1203
"211","COMMUNE_0000002200276510","24364",200041168,"24",75,"COLY SAINT AMAND",605,8,1331
"212","COMMUNE_0000002200276511","24423",200040889,"24",75,"SAINT JULIEN INNOCENCE EULALIE",294,7,1674
"213","COMMUNE_0000002200276509","24259",200069094,"24",75,"EYRAUD CREMPSE MAURENS",1600,NA,NA
"214","COMMUNE_0000000009757012","40287",244000873,"40",75,"SANGUINET",4009,63,2964
"215","COMMUNE_0000000009736547","92064",200054781,"92",11,"SAINT CLOUD",30193,465,6671
"216","COMMUNE_0000000009757384","40332",244000873,"40",75,"YCHOUX",2265,40,1941
"217","COMMUNE_0000000009757385","40217",244000873,"40",75,"PARENTIS EN BORN",6094,102,2437
"218","COMMUNE_0000000009757210","40046",244000873,"40",75,"BISCARROSSE",14214,439,3035
"219","COMMUNE_0000000009736554","92077",200054781,"92",11,"VILLE D AVRAY",11509,134,5806
"220","COMMUNE_0000000009737928","91514",200058477,"91",11,"QUINCY SOUS SENART",8957,97,2985
